alert_id,alert_time,user,account_type,department,office,privileged,tenure_days,days_until_departure,rule_name,new_device,new_country,geo_velocity_kmh,failed_logins_1h,hour_unusualness,mfa_method,asn_type,ip_reputation,logins_24h,logins_7d,distinct_ips_7d,bytes_out_mb,session_minutes,browser,os,user_agent_length,analyst,triage_minutes,verdict
ALR-000013,2026-03-01T02:33:23Z,ssimmons,human,Engineering,Austin,0,1819,,R05_new_country,0,1,0.0,1,0.112,sms,mobile,58.0,6,44,5,2.2,6.2,safari,ios,227,a4,11.8,false_positive
ALR-000014,2026-03-01T02:33:47Z,jclark,human,Operations,Remote,0,859,,R02_new_device,1,1,366.0,2,0.551,totp,mobile,66.0,10,58,4,24.7,4.6,chrome,macos,233,a5,4.8,false_positive
ALR-000015,2026-03-01T03:08:00Z,snelson,human,Sales,San Francisco,0,1176,,R02_new_device,1,0,0.0,0,0.112,totp,hosting,0.0,10,57,3,62.1,65.6,chrome,macos,175,a4,4.7,false_positive
ALR-000016,2026-03-01T03:29:04Z,mkelly,human,Security,San Francisco,1,86,,R06_risky_ip,0,0,0.0,0,0.165,push,hosting,38.0,11,79,1,5.1,72.7,chrome,windows,107,a5,26.2,false_positive
ALR-000017,2026-03-01T03:36:45Z,khall,human,Finance,San Francisco,0,252,,R01_impossible_travel,0,0,836.0,0,0.235,push,mobile,80.0,9,63,2,127.1,6.7,chrome,windows,207,a3,5.1,false_positive
ALR-000018,2026-03-01T03:43:01Z,syoung2,human,Engineering,New York,0,2126,,R06_risky_ip,0,0,0.0,0,0.403,totp,residential,90.0,13,89,1,52.1,66.1,chrome,macos,134,a1,10.4,false_positive
ALR-000019,2026-03-01T03:46:50Z,jhoward,human,Sales,London,0,115,,R03_failed_login_burst,0,0,0.0,11,0.247,push,mobile,90.0,10,59,2,34.4,20.7,chrome,windows,237,a4,3.9,false_positive
ALR-000020,2026-03-01T03:49:25Z,thall,human,Finance,Remote,0,704,55.0,R02_new_device,1,0,0.0,1,0.345,totp,corporate,54.0,5,36,3,17.0,10.9,safari,ios,182,a3,5.2,false_positive
ALR-000021,2026-03-01T03:52:28Z,jmurphy4,human,Engineering,New York,0,2373,126.0,R01_impossible_travel,1,0,704.0,0,0.614,push,residential,74.0,16,89,4,16.0,31.4,safari,ios,213,a3,7.5,false_positive
ALR-000022,2026-03-01T04:09:14Z,dkelly,human,Engineering,New York,0,2138,,R03_failed_login_burst,1,0,736.0,10,0.2,sms,residential,88.0,11,72,3,58.3,37.3,chrome,ios,178,a5,6.2,false_positive
ALR-000023,2026-03-01T04:33:54Z,amiller8,human,Security,New York,0,1891,,R05_new_country,0,1,186.0,1,0.249,totp,residential,77.0,10,67,6,49.4,19.5,chrome,macos,145,a5,25.5,false_positive
ALR-000024,2026-03-01T04:41:32Z,emorgan,human,Engineering,Remote,0,829,,R06_risky_ip,0,0,0.0,0,0.307,sms,residential,47.0,8,56,2,2.4,56.9,chrome,windows,103,a6,11.4,false_positive
ALR-000025,2026-03-01T05:02:23Z,mcooper4,human,Security,Austin,1,612,,R02_new_device,1,0,0.0,0,0.116,totp,corporate,52.0,7,52,1,12.3,55.5,chrome,windows,198,a2,10.6,true_positive
ALR-000026,2026-03-01T05:10:40Z,rprice,human,People,San Francisco,0,558,,R06_risky_ip,0,0,0.0,0,0.284,totp,residential,66.0,9,58,2,16.1,61.9,edge,windows,210,a4,5.0,false_positive
ALR-000027,2026-03-01T05:18:08Z,ahenderson7,human,Finance,New York,1,929,,R02_new_device,1,0,0.0,0,0.049,none,residential,78.0,4,27,4,26.3,26.0,edge,windows,118,a5,3.9,false_positive
ALR-000028,2026-03-01T05:26:16Z,mgarcia,human,Sales,Remote,0,2023,,R06_risky_ip,0,0,0.0,0,0.13,push,hosting,30.0,12,89,1,16.3,29.8,safari,ios,152,a4,12.9,false_positive
ALR-000029,2026-03-01T05:44:51Z,crogers,human,Marketing,San Francisco,0,2141,,R01_impossible_travel,1,0,5301.0,1,0.154,push,residential,71.0,6,45,4,39.8,6.1,edge,windows,128,a5,6.4,false_positive
ALR-000030,2026-03-01T05:56:11Z,khall,human,Finance,San Francisco,0,252,,R03_failed_login_burst,1,0,0.0,12,0.266,totp,residential,87.0,7,49,3,80.4,8.7,chrome,macos,223,a1,10.2,false_positive
ALR-000031,2026-03-01T05:57:13Z,msmith,human,Sales,Austin,0,66,,R04_off_hours,0,0,515.0,0,0.541,push,corporate,,14,80,2,35.0,17.0,chrome,ios,207,a1,8.9,false_positive
ALR-000032,2026-03-01T06:05:50Z,lsmith,human,Operations,San Francisco,1,1751,,R03_failed_login_burst,0,0,0.0,12,0.693,push,residential,82.0,9,65,3,9.9,17.0,chrome,macos,211,a1,6.8,false_positive
ALR-000033,2026-03-01T06:37:36Z,syoung2,human,Engineering,New York,0,2126,,R06_risky_ip,0,0,0.0,1,0.168,push,residential,95.0,7,42,2,7.4,33.8,safari,windows,176,a3,7.0,false_positive
ALR-000034,2026-03-01T06:38:32Z,sthomas,human,Sales,San Francisco,0,2095,,R06_risky_ip,0,0,0.0,0,0.292,push,hosting,50.0,11,77,2,46.7,18.5,safari,ios,128,a4,4.8,false_positive
ALR-000035,2026-03-01T06:53:20Z,awood3,human,Engineering,London,0,1699,,R01_impossible_travel,1,0,1013.0,0,0.313,sms,corporate,55.0,7,47,3,9.5,45.8,safari,macos,230,a4,5.3,false_positive
ALR-000036,2026-03-01T06:54:30Z,twashington,human,People,New York,0,2055,,R02_new_device,1,0,0.0,0,0.182,sms,residential,94.0,8,45,2,51.0,9.7,safari,android,191,a1,12.4,false_positive
ALR-000037,2026-03-01T07:11:19Z,jtaylor,human,Finance,Remote,0,2014,,R04_off_hours,0,0,1106.0,2,0.885,none,corporate,74.0,12,67,1,31.4,101.3,firefox,windows,137,a1,21.8,true_positive
ALR-000038,2026-03-01T07:22:13Z,jadams4,human,Marketing,New York,0,75,,R01_impossible_travel,0,0,481.0,1,0.535,totp,hosting,54.0,6,35,1,35.7,212.7,edge,macos,228,a3,5.1,false_positive
ALR-000039,2026-03-01T07:33:35Z,esimmons,human,Finance,Remote,0,1041,,R02_new_device,1,0,0.0,1,0.415,sms,mobile,95.0,7,49,4,13.4,19.9,safari,android,94,a4,11.0,false_positive
ALR-000040,2026-03-01T07:39:48Z,twashington,human,People,New York,0,2055,,R01_impossible_travel,0,0,1216.0,2,0.293,push,residential,89.0,10,56,2,12.3,6.2,edge,macos,96,a4,36.0,false_positive
ALR-000041,2026-03-01T07:45:55Z,kgarcia,human,Operations,Austin,0,750,,R01_impossible_travel,1,0,699.0,1,0.203,push,residential,79.0,15,106,2,5.3,38.5,safari,macos,128,a5,14.4,false_positive
ALR-000042,2026-03-01T07:57:08Z,bwood,human,Engineering,Austin,0,812,,R04_off_hours,0,0,0.0,1,0.71,sms,corporate,,8,46,5,89.1,13.5,safari,macos,230,a3,24.7,false_positive
ALR-000043,2026-03-01T08:02:34Z,khall,human,Finance,San Francisco,0,252,,R01_impossible_travel,0,0,1516.0,0,0.192,totp,mobile,44.0,7,51,3,10.6,43.1,safari,windows,256,a2,8.4,false_positive
ALR-000044,2026-03-01T08:06:20Z,rbutler,human,Engineering,San Francisco,1,1419,,R03_failed_login_burst,0,0,0.0,14,0.337,totp,corporate,69.0,10,70,2,17.0,49.2,chrome,android,184,a6,13.6,false_positive
ALR-000045,2026-03-01T08:18:23Z,gbrooks,human,Sales,San Francisco,0,689,,R04_off_hours,0,0,0.0,0,0.77,push,corporate,57.0,7,45,1,3.4,9.0,edge,android,199,a2,6.3,false_positive
ALR-000046,2026-03-01T08:28:34Z,sbrown,human,People,New York,0,2165,,R02_new_device,1,0,0.0,0,0.507,push,mobile,64.0,12,83,4,92.0,18.6,edge,ios,107,a6,12.9,false_positive
ALR-000047,2026-03-01T08:29:24Z,svc_billing_sync,service,Service,Datacenter,1,483,,R02_new_device,1,0,90.0,1,0.235,totp,residential,31.0,400,2805,3,32.6,32.5,safari,macos,103,a1,6.2,false_positive
ALR-000048,2026-03-01T08:33:52Z,eevans,human,Security,San Francisco,1,1486,,R02_new_device,1,1,0.0,0,0.119,totp,corporate,,11,76,8,13.5,9.1,edge,ios,153,a2,50.8,true_positive
ALR-000049,2026-03-01T08:56:05Z,ahughes,human,Finance,New York,0,1388,,R02_new_device,1,1,0.0,0,0.383,none,residential,76.0,9,54,6,22.1,8.4,chrome,macos,116,a2,61.8,true_positive
ALR-000050,2026-03-01T09:01:04Z,sthomas,human,Sales,San Francisco,0,2095,,R04_off_hours,0,0,103.0,0,0.906,totp,residential,50.0,11,64,1,21.1,21.0,chrome,windows,186,a4,12.9,false_positive
ALR-000051,2026-03-01T09:01:10Z,ayoung7,human,Sales,Austin,0,1015,,R06_risky_ip,0,0,235.0,0,0.374,push,hosting,42.0,4,29,3,13.1,10.3,safari,macos,212,a6,26.3,false_positive
ALR-000052,2026-03-01T09:05:51Z,svc_billing_sync,service,Service,Datacenter,1,483,,R05_new_country,0,1,0.0,0,0.527,totp,residential,48.0,395,2215,1,31.6,25.2,safari,macos,142,a3,17.6,false_positive
ALR-000053,2026-03-01T09:12:48Z,bbaker,human,Sales,New York,0,2942,,R05_new_country,0,1,0.0,0,0.434,totp,mobile,71.0,14,101,4,7.0,8.1,safari,macos,197,a1,14.2,false_positive
ALR-000054,2026-03-01T09:48:31Z,jadams4,human,Marketing,New York,0,75,,R02_new_device,1,0,62.0,0,0.453,totp,residential,58.0,11,79,4,3.2,24.9,safari,macos,249,a2,9.2,false_positive
ALR-000055,2026-03-01T09:57:24Z,pfoster,human,Operations,Austin,0,1726,,R01_impossible_travel,0,0,1270.0,0,0.463,none,residential,76.0,5,31,1,12.6,13.9,safari,android,204,a1,19.3,false_positive
ALR-000056,2026-03-01T10:39:59Z,eevans,human,Security,San Francisco,1,1486,,R05_new_country,0,1,376.0,0,0.589,push,corporate,,8,45,6,8.1,99.1,chrome,macos,189,a1,28.4,true_positive
ALR-000057,2026-03-01T10:41:35Z,crogers,human,Marketing,San Francisco,0,2141,,R04_off_hours,0,0,346.0,0,0.843,totp,residential,72.0,10,72,3,81.3,10.7,safari,macos,219,a2,14.6,false_positive
ALR-000058,2026-03-01T10:56:52Z,jharris,human,Engineering,San Francisco,0,152,,R05_new_country,0,1,0.0,0,0.18,totp,corporate,87.0,12,81,9,31.1,30.0,chrome,windows,251,a3,3.2,false_positive
ALR-000059,2026-03-01T11:03:08Z,kross,human,Operations,London,0,2451,,R04_off_hours,0,0,0.0,0,0.925,push,residential,54.0,12,77,2,6.3,31.3,chrome,windows,92,a2,3.7,false_positive
ALR-000060,2026-03-01T11:09:35Z,cnelson,human,Engineering,San Francisco,0,550,,R04_off_hours,0,0,0.0,0,0.733,totp,mobile,50.0,11,64,1,26.5,25.5,safari,windows,198,a5,15.4,false_positive
ALR-000061,2026-03-01T11:18:20Z,jlong,human,Operations,New York,0,2089,,R02_new_device,1,0,0.0,1,0.469,push,residential,,8,53,2,2.7,44.4,safari,macos,191,a3,4.7,false_positive
ALR-000062,2026-03-01T11:27:21Z,cbrown,human,Engineering,New York,1,1509,,R02_new_device,1,0,0.0,0,0.39,push,residential,,6,42,3,35.4,65.2,chrome,android,175,a1,6.0,false_positive
ALR-000063,2026-03-01T11:32:46Z,rdavis,human,Engineering,San Francisco,0,150,,R02_new_device,1,0,0.0,0,0.381,push,residential,89.0,8,44,3,18.3,5.6,chrome,windows,156,a2,12.3,false_positive
ALR-000064,2026-03-01T11:34:51Z,agarcia,human,People,New York,1,2703,,R03_failed_login_burst,0,0,0.0,12,0.16,totp,residential,99.0,3,17,2,9.4,27.4,chrome,macos,94,a3,11.1,false_positive
ALR-000065,2026-03-01T11:47:55Z,ehughes,human,Operations,San Francisco,0,2901,,R02_new_device,1,0,212.0,0,0.233,push,hosting,51.0,8,47,6,9.7,81.4,firefox,windows,209,a3,11.9,false_positive
ALR-000066,2026-03-01T12:02:31Z,dmiller,human,Sales,New York,0,1539,,R02_new_device,1,0,0.0,1,0.474,push,mobile,59.0,7,52,4,9.8,14.7,chrome,windows,99,a1,7.4,false_positive
ALR-000067,2026-03-01T12:13:56Z,scox4,human,Sales,Remote,0,1776,,R01_impossible_travel,1,0,797.0,0,0.089,push,mobile,100.0,8,55,1,33.3,31.7,chrome,macos,226,a4,11.4,false_positive
ALR-000068,2026-03-01T12:21:49Z,tbrown,human,Engineering,Remote,0,1446,,R02_new_device,1,0,0.0,0,0.212,push,corporate,77.0,3,18,5,22.6,38.4,chrome,macos,206,a2,8.0,false_positive
ALR-000069,2026-03-01T12:24:07Z,ahenderson7,human,Finance,New York,1,929,,R02_new_device,1,0,356.0,0,0.452,push,residential,,10,56,5,17.7,89.4,edge,windows,186,a1,20.8,true_positive
ALR-000070,2026-03-01T12:43:25Z,jhenderson,human,People,Remote,0,2837,,R04_off_hours,1,0,0.0,1,0.575,push,corporate,64.0,8,51,5,27.3,12.8,edge,macos,226,a2,8.8,false_positive
ALR-000071,2026-03-01T12:54:20Z,cwatson,human,Engineering,San Francisco,0,2448,,R05_new_country,0,1,240.0,0,0.205,push,corporate,75.0,7,50,6,54.6,26.4,chrome,windows,173,a4,4.3,false_positive
ALR-000072,2026-03-01T13:06:11Z,sallen,human,Operations,San Francisco,0,1123,,R03_failed_login_burst,0,0,0.0,16,0.199,totp,residential,64.0,5,30,3,26.6,34.1,chrome,macos,211,a3,4.7,false_positive
ALR-000073,2026-03-01T13:06:49Z,ereed5,human,Security,London,1,601,,R06_risky_ip,0,0,0.0,0,0.345,totp,mobile,,4,26,2,55.1,23.8,safari,windows,131,a5,5.7,false_positive
ALR-000074,2026-03-01T13:11:55Z,jflores,human,Marketing,Austin,0,2744,,R04_off_hours,0,0,0.0,0,0.522,push,mobile,47.0,10,74,1,3.2,58.6,chrome,android,111,a5,4.9,false_positive
ALR-000075,2026-03-01T13:16:33Z,sthomas,human,Sales,San Francisco,0,2095,,R06_risky_ip,0,0,0.0,1,0.139,totp,hosting,44.0,13,76,4,8.3,27.3,chrome,macos,173,a5,14.1,false_positive
ALR-000076,2026-03-01T13:25:15Z,twashington,human,People,New York,0,2055,,R02_new_device,1,0,0.0,1,0.238,totp,corporate,97.0,6,35,4,16.5,43.6,chrome,android,133,a6,4.5,false_positive
ALR-000077,2026-03-01T13:28:42Z,eturner,human,Engineering,San Francisco,1,899,,R01_impossible_travel,0,0,2189.0,0,0.145,push,corporate,64.0,6,43,3,25.5,32.2,safari,windows,245,a3,10.7,false_positive
ALR-000078,2026-03-01T14:04:44Z,glee,human,Operations,Austin,1,77,,R06_risky_ip,1,0,0.0,0,0.699,push,hosting,43.0,14,79,8,34.2,5.8,safari,macos,231,a2,64.0,true_positive
ALR-000079,2026-03-01T14:24:01Z,awood,human,Marketing,San Francisco,0,1519,,R04_off_hours,0,0,225.0,0,0.825,sms,corporate,86.0,7,39,2,24.1,45.6,safari,windows,111,a1,5.8,false_positive
ALR-000080,2026-03-01T14:25:00Z,jpatel,human,People,Austin,0,1535,,R04_off_hours,0,0,0.0,0,0.568,sms,corporate,67.0,12,80,1,5.8,37.1,chrome,ios,112,a1,5.1,false_positive
ALR-000081,2026-03-01T14:28:45Z,rhoward,human,Engineering,San Francisco,1,1932,,R03_failed_login_burst,0,0,0.0,9,0.104,push,corporate,49.0,8,54,3,12.9,26.1,firefox,windows,218,a3,6.8,false_positive
ALR-000082,2026-03-01T14:31:03Z,syoung6,human,Engineering,New York,0,863,,R02_new_device,1,0,0.0,0,0.457,push,residential,44.0,10,66,3,32.7,13.5,chrome,macos,256,a4,5.5,false_positive
ALR-000083,2026-03-01T14:51:18Z,cturner2,human,Sales,Austin,0,2559,,R06_risky_ip,0,0,0.0,0,0.472,none,hosting,50.0,9,65,4,11.7,61.6,chrome,macos,202,a4,48.9,true_positive
ALR-000084,2026-03-01T15:05:17Z,awilson,human,Engineering,San Francisco,0,610,,R04_off_hours,0,0,0.0,1,0.659,push,residential,62.0,11,70,3,1.9,160.7,safari,windows,140,a1,10.3,false_positive
ALR-000085,2026-03-01T15:08:44Z,whughes,human,Security,Remote,0,2331,,R04_off_hours,0,0,0.0,0,0.476,push,residential,53.0,9,64,2,67.0,6.4,safari,macos,170,a2,39.4,true_positive
ALR-000086,2026-03-01T15:20:19Z,jphillips,human,Finance,San Francisco,0,2464,,R02_new_device,1,0,1014.0,1,0.15,push,residential,67.0,13,72,2,17.4,29.4,safari,windows,205,a3,3.7,false_positive
ALR-000087,2026-03-01T15:23:37Z,gcoleman,human,Operations,New York,0,2738,,R03_failed_login_burst,0,0,166.0,12,0.485,push,residential,89.0,6,33,4,2.5,19.2,firefox,macos,163,a1,5.3,false_positive
ALR-000088,2026-03-01T15:26:15Z,crogers,human,Marketing,San Francisco,0,2141,,R06_risky_ip,0,0,0.0,0,0.349,totp,hosting,62.0,8,52,2,21.0,85.8,chrome,windows,250,a3,20.9,false_positive
ALR-000089,2026-03-01T15:46:29Z,swatson,human,Sales,San Francisco,0,692,,R04_off_hours,1,0,212.0,0,0.841,push,mobile,,10,66,2,9.8,32.5,safari,windows,202,a4,26.9,false_positive
ALR-000090,2026-03-01T15:48:10Z,mgarcia,human,Sales,Remote,0,2023,,R03_failed_login_burst,0,0,0.0,12,0.436,totp,residential,64.0,11,81,2,4.6,54.7,firefox,windows,131,a1,8.8,false_positive
ALR-000091,2026-03-01T16:22:53Z,sallen,human,Operations,San Francisco,0,1123,,R06_risky_ip,0,0,0.0,0,0.08,totp,mobile,84.0,17,99,3,19.7,141.8,safari,windows,150,a4,7.6,false_positive
ALR-000092,2026-03-01T16:55:51Z,dlong,human,Engineering,San Francisco,0,365,,R06_risky_ip,0,0,0.0,0,0.146,push,residential,72.0,11,62,2,12.9,68.5,safari,macos,239,a6,5.8,false_positive
ALR-000093,2026-03-01T16:56:31Z,cperry,human,Marketing,San Francisco,0,639,,R01_impossible_travel,0,0,1227.0,0,0.411,totp,corporate,73.0,3,18,2,71.1,10.1,chrome,macos,247,a3,7.4,false_positive
ALR-000094,2026-03-01T17:00:45Z,whughes,human,Security,Remote,0,2331,,R04_off_hours,0,0,0.0,0,0.896,totp,residential,,11,68,3,68.3,59.9,edge,macos,103,a3,9.4,false_positive
ALR-000095,2026-03-01T17:02:27Z,rhoward,human,Engineering,San Francisco,1,1932,,R03_failed_login_burst,0,0,181.0,11,0.163,totp,residential,61.0,10,57,5,55.4,21.1,chrome,macos,246,a1,16.3,false_positive
ALR-000096,2026-03-01T17:03:08Z,ahughes,human,Finance,New York,0,1388,,R02_new_device,1,0,0.0,0,0.285,totp,residential,53.0,5,28,4,2.2,87.7,safari,android,243,a6,7.4,false_positive
ALR-000097,2026-03-01T17:14:02Z,acarter,human,Engineering,New York,0,1623,24.0,R02_new_device,1,0,0.0,0,0.67,push,corporate,74.0,11,67,3,115.8,6.2,edge,windows,233,a6,9.4,false_positive
ALR-000098,2026-03-01T17:20:34Z,fperez,human,Sales,Austin,0,2958,,R06_risky_ip,0,0,0.0,0,0.486,push,hosting,37.0,14,99,2,3.5,20.3,edge,macos,227,a5,15.1,false_positive
ALR-000099,2026-03-01T17:42:58Z,apatel6,human,Sales,Remote,1,860,,R06_risky_ip,0,0,0.0,0,0.252,push,hosting,51.0,8,47,3,10.1,46.2,chrome,macos,161,a1,31.6,true_positive
ALR-000100,2026-03-01T17:43:37Z,glee,human,Operations,Austin,1,77,,R03_failed_login_burst,1,0,0.0,11,0.105,push,corporate,90.0,9,66,2,2.4,8.1,firefox,macos,185,a1,4.4,false_positive
ALR-000101,2026-03-01T17:45:09Z,jmorgan2,human,Sales,Austin,0,1117,,R02_new_device,1,0,241.0,0,0.374,sms,corporate,96.0,7,45,4,32.3,74.1,safari,ios,188,a6,8.1,false_positive
ALR-000102,2026-03-01T17:50:10Z,dbell,human,Finance,Remote,0,1040,,R06_risky_ip,0,0,0.0,1,0.42,totp,residential,,8,59,3,263.5,35.1,edge,windows,102,a5,4.8,false_positive
ALR-000103,2026-03-01T18:17:17Z,ssmith,human,Sales,New York,0,1196,,R06_risky_ip,0,0,0.0,0,0.317,push,hosting,40.0,9,58,1,53.3,63.3,chrome,macos,198,a1,8.4,false_positive
ALR-000104,2026-03-01T18:20:23Z,rjones,human,Marketing,London,0,2036,,R06_risky_ip,0,0,135.0,0,0.299,sms,residential,65.0,9,58,2,2.9,27.7,edge,macos,110,a2,10.8,false_positive
ALR-000105,2026-03-01T18:26:50Z,ahill,human,Operations,San Francisco,0,2177,,R03_failed_login_burst,1,0,0.0,10,0.301,totp,corporate,57.0,11,69,2,57.2,17.0,edge,macos,137,a6,7.7,false_positive
ALR-000106,2026-03-01T18:31:18Z,gallen,human,Sales,San Francisco,0,2219,,R04_off_hours,0,0,769.0,0,0.816,sms,hosting,59.0,11,65,2,11.2,22.7,safari,macos,209,a3,3.6,false_positive
ALR-000107,2026-03-01T18:41:53Z,mlewis,human,Finance,Remote,0,2777,,R01_impossible_travel,0,0,1693.0,1,0.266,push,mobile,80.0,8,48,4,76.6,9.8,chrome,macos,252,a1,6.5,false_positive
ALR-000108,2026-03-01T18:44:52Z,crogers,human,Marketing,San Francisco,0,2141,,R03_failed_login_burst,0,0,0.0,14,0.276,totp,residential,75.0,9,52,3,2.4,29.8,chrome,macos,160,a1,13.2,false_positive
ALR-000109,2026-03-01T18:47:33Z,awright3,human,Engineering,New York,0,1436,,R06_risky_ip,1,0,0.0,0,0.274,push,residential,72.0,5,37,1,5.1,19.6,chrome,macos,222,a3,12.2,false_positive
ALR-000110,2026-03-01T18:52:04Z,emorgan,human,Engineering,Remote,0,829,,R01_impossible_travel,0,0,4450.0,0,0.462,sms,corporate,65.0,11,82,3,5.8,66.0,edge,ios,249,a5,4.2,false_positive
ALR-000111,2026-03-01T19:01:10Z,srussell,human,Engineering,San Francisco,0,180,,R06_risky_ip,0,0,0.0,1,0.192,none,residential,85.0,12,68,2,15.8,7.7,chrome,macos,148,a3,4.7,false_positive
ALR-000112,2026-03-01T19:03:48Z,svc_billing_sync,service,Service,Datacenter,1,483,,R01_impossible_travel,0,1,1364.0,0,0.102,none,residential,54.0,380,2326,5,153.4,20.7,chrome,windows,248,a5,11.6,false_positive
ALR-000113,2026-03-01T19:07:00Z,snelson,human,Sales,San Francisco,0,1176,,R02_new_device,1,0,0.0,0,0.559,push,corporate,86.0,9,59,7,8.2,43.0,safari,ios,253,a2,4.6,false_positive
ALR-000114,2026-03-01T19:19:13Z,jpatel,human,People,Austin,0,1535,,R01_impossible_travel,0,0,2210.0,0,0.572,push,residential,42.0,11,61,2,8.2,5.6,chrome,macos,215,a4,22.8,false_positive
ALR-000115,2026-03-01T19:27:13Z,amoore6,human,Engineering,San Francisco,0,371,,R03_failed_login_burst,0,0,0.0,10,0.493,totp,corporate,75.0,10,55,2,6.9,51.9,safari,macos,177,a1,14.9,false_positive
ALR-000116,2026-03-01T19:27:28Z,svc_billing_sync,service,Service,Datacenter,1,483,,R06_risky_ip,0,0,0.0,1,0.267,push,residential,79.0,386,2282,4,44.4,13.0,safari,macos,172,a1,8.9,false_positive
ALR-000117,2026-03-01T19:29:55Z,manderson,human,Sales,New York,0,700,,R05_new_country,0,1,0.0,1,0.431,push,corporate,56.0,8,52,6,79.2,33.0,chrome,ios,213,a5,6.5,false_positive
ALR-000118,2026-03-01T19:46:53Z,svc_billing_sync,service,Service,Datacenter,1,483,,R02_new_device,1,0,45.0,0,0.663,push,corporate,82.0,385,2687,4,169.8,29.7,edge,windows,140,a4,7.2,false_positive
ALR-000119,2026-03-01T20:03:36Z,sallen,human,Operations,San Francisco,0,1123,,R02_new_device,1,0,0.0,0,0.505,push,corporate,91.0,10,64,4,9.6,50.5,safari,windows,247,a2,13.5,false_positive
ALR-000120,2026-03-01T20:05:46Z,fcox,human,Finance,New York,0,567,,R06_risky_ip,0,0,0.0,0,0.127,push,hosting,0.0,8,49,2,3.3,17.0,chrome,macos,197,a5,6.7,false_positive
ALR-000121,2026-03-01T20:14:36Z,svc_billing_sync,service,Service,Datacenter,1,483,,R06_risky_ip,0,0,216.0,0,0.291,totp,hosting,,382,2452,1,31.3,52.3,edge,macos,200,a5,14.1,false_positive
ALR-000122,2026-03-01T20:26:10Z,lbennett3,human,Sales,London,0,58,,R02_new_device,1,0,0.0,0,0.412,totp,corporate,,14,80,7,10.3,14.4,chrome,macos,214,a4,10.6,false_positive
ALR-000123,2026-03-01T20:32:15Z,jtorres,human,Sales,Remote,0,735,,R02_new_device,1,1,57.0,0,0.212,push,residential,59.0,9,52,5,88.0,41.2,chrome,ios,239,a2,51.1,true_positive
ALR-000124,2026-03-01T20:38:21Z,mrogers,human,Sales,San Francisco,0,1624,98.0,R02_new_device,1,0,63.0,0,0.442,push,residential,36.0,8,54,2,33.2,48.5,firefox,macos,226,a5,12.7,false_positive
